WordLength,Case,SF,L,M,SymbolsMatch,MatlabSymbols,FixedSymbols,ConfidenceAbsError,WorstRelativeRms,WorstMaxAbsError,DecisionMargin,InputType,ReferenceType,ProductType,AccumulatorType,FftNType,MagnitudeType,FftMOutputWordLength,FftNOutputWordLength
10,sf7-l8-awgn-m10,7,8,1024,1,77,77,0.1128258946518,0.069334692432705,14580.0174296074,0.928571428571429,sfix10_En4,sfix10_En1,sfix10_En-7,sfix10_En-7,sfix10_En-2,ufix10_En-11,20,17
10,sf7-l8-cfo,7,8,1024,1,34,34,0.0342512750518313,0.113279207124437,6099.11060488567,0.22707423580786,sfix10_En4,sfix10_En1,sfix10_En-7,sfix10_En-7,sfix10_En-2,ufix10_En-11,20,17
10,sf7-l8-timing,7,8,1024,1,32,32,0.0361015768170876,0.110446401447861,23123.4718746206,0.759530791788856,sfix10_En4,sfix10_En1,sfix10_En-7,sfix10_En-7,sfix10_En-2,ufix10_En-11,20,17
10,sf7-l8-combined,7,8,1024,1,[31 95],[31 95],0.173581141749725,0.0846791994196723,9607.41575568552,0.82051282051282,sfix10_En4,sfix10_En1,sfix10_En-7,sfix10_En-7,sfix10_En-2,ufix10_En-11,20,17
10,sf9-l2-clean,9,2,1024,1,300,300,0.0138443488649752,0.0895432739120564,16384,1,sfix10_En6,sfix10_En2,sfix10_En-5,sfix10_En-5,sfix10_En-2,ufix10_En-11,20,19
10,sf9-l2-combined,9,2,1024,1,2,2,0.174809195550972,0.0756613986901296,9364.23240804172,0.28436018957346,sfix10_En6,sfix10_En2,sfix10_En-5,sfix10_En-5,sfix10_En-2,ufix10_En-11,20,19
10,sf10-l1-clean,10,1,1024,1,1000,1000,0,0.149155336656537,81.5843122174578,1,sfix10_En8,sfix10_En2,sfix10_En-3,sfix10_En-3,sfix10_En-2,ufix10_En-11,20,20
10,sf12-l1-clean,12,1,4096,1,4095,4095,0,0.292212565769764,672.761473331189,1,sfix10_En8,sfix10_En1,sfix10_En-5,sfix10_En-5,sfix10_En-4,ufix10_En-15,22,22
12,sf5-l4-awgn,5,4,128,1,30,30,0.00545031869607465,0.0120487901854241,109.97298057978,0.847382431233363,sfix12_En7,sfix12_En5,sfix12_En-1,sfix12_En-1,sfix12_En2,ufix12_En-4,19,17
12,sf5-l8-clean,5,8,256,1,[17 3],[17 3],0.00820541935239016,0.014339150322203,768.000000000015,0.991312741312741,sfix12_En10,sfix12_En4,sfix12_En-2,sfix12_En-2,sfix12_En2,ufix12_En-5,20,17
12,sf7-l1-clean,7,1,128,1,[0 45 127],[0 45 127],0,0.0124168171372142,32.0000000000073,1,sfix12_En10,sfix12_En6,sfix12_En2,sfix12_En2,sfix12_En3,ufix12_En-3,19,19
12,sf7-l2-clean,7,2,256,1,[13 100],[13 100],0.0154295046337449,0.0106321874158893,128,0.99853228962818,sfix12_En10,sfix12_En5,sfix12_En0,sfix12_En0,sfix12_En2,ufix12_En-5,20,19
12,sf7-l4-clean,7,4,512,1,63,63,0.0189167346273612,0.0122704473492609,512,0.998538011695906,sfix12_En10,sfix12_En4,sfix12_En-2,sfix12_En-2,sfix12_En1,ufix12_En-7,21,19
12,sf7-l8-clean,7,8,1024,1,1,1,0.0295025944742773,0.03194567666139,22528,0.998087954110899,sfix12_En6,sfix12_En3,sfix12_En-5,sfix12_En-5,sfix12_En0,ufix12_En-9,22,19
12,sf7-l8-awgn-p00,7,8,1024,1,77,77,0.0860416081752887,0.0286038773674723,2725.80632200674,0.995408163265306,sfix12_En6,sfix12_En3,sfix12_En-5,sfix12_En-5,sfix12_En0,ufix12_En-9,22,19
12,sf7-l8-awgn-m10,7,8,1024,1,77,77,0.0278649571517999,0.0194655998453266,4852.01742960736,0.930810810810811,sfix12_En6,sfix12_En3,sfix12_En-5,sfix12_En-5,sfix12_En0,ufix12_En-9,22,19
12,sf7-l8-cfo,7,8,1024,1,34,34,0.0186262750518313,0.0383498332682838,1934.81666225084,0.231693989071038,sfix12_En6,sfix12_En3,sfix12_En-5,sfix12_En-5,sfix12_En0,ufix12_En-9,22,19
12,sf7-l8-timing,7,8,1024,1,32,32,0.0180351705670876,0.0384047309736737,2643.47187462065,0.757122507122507,sfix12_En6,sfix12_En3,sfix12_En-5,sfix12_En-5,sfix12_En0,ufix12_En-9,22,19
