SNR_dB,BER,SER,BitErrors,SymbolErrors,Bits,Symbols,BER_Lower95,BER_Upper95,SER_Lower95,SER_Upper95,SpreadingFactor,SamplesPerChip,DemodulationMode,EsN0_dB,EbN0_dB
-16,0.340428571428571,0.68875,9532,2755,28000,4000,0.334900542619117,0.346000379022641,0.67422624314099,0.702911567017147,7,2,polyphase,8.0823996531185,-0.368580747024073
-14,0.212857142857143,0.4565,5960,1826,28000,4000,0.208102236076585,0.217690827934099,0.441112962087956,0.471970509478248,7,2,polyphase,10.0823996531185,1.63141925297593
-12,0.0970357142857143,0.2255,2717,902,28000,4000,0.09362365821653,0.100558324523837,0.212815939138866,0.238710795227181,7,2,polyphase,12.0823996531185,3.63141925297593
-10,0.0235357142857143,0.067,659,268,28000,4000,0.0218243283922235,0.0253778192404306,0.05965990227706,0.0751709756118215,7,2,polyphase,14.0823996531185,5.63141925297593
-8,0.009,0.03,252,120,28000,4000,0.00795919714701881,0.0101755098205045,0.025147812369686,0.0357540643226334,7,2,polyphase,16.0823996531185,7.63141925297593
-6,0.00203571428571429,0.0075,57,30,28000,4000,0.00157171770012107,0.00263632850646736,0.00525864729702145,0.0106864043433345,7,2,polyphase,18.0823996531185,9.63141925297593
-4,0.000821428571428571,0.002,23,8,28000,4000,0.000547447073662297,0.00123236084640415,0.00101378626859103,0.00394181924795165,7,2,polyphase,20.0823996531185,11.6314192529759
-20,0.459714285714286,0.90975,12872,3639,28000,4000,0.453882737637226,0.465556886268751,0.900472635786342,0.918241100437748,7,4,single-phase,7.09269960975831,-1.35828079038426
-18,0.423785714285714,0.83375,11866,3335,28000,4000,0.418008480399797,0.429583857734382,0.821893240782163,0.844966330821962,7,4,single-phase,9.09269960975831,0.64171920961574
-16,0.349785714285714,0.69775,9794,2791,28000,4000,0.344220698270976,0.355391941931628,0.683334317395341,0.711786222783582,7,4,single-phase,11.0926996097583,2.64171920961574
-14,0.238535714285714,0.47625,6679,1905,28000,4000,0.233579840765587,0.243563321127724,0.460802810834968,0.491742762721293,7,4,single-phase,13.0926996097583,4.64171920961574
-12,0.102,0.1995,2856,798,28000,4000,0.0985094915527923,0.105599700653062,0.187406633592926,0.212169991824185,7,4,single-phase,15.0926996097583,6.64171920961574
-10,0.0181785714285714,0.03675,509,147,28000,4000,0.0166785549145943,0.0198107767481099,0.0313496952710999,0.0430392289368085,7,4,single-phase,17.0926996097583,8.64171920961574
-8,0.0005,0.00125,14,5,28000,4000,0.000297874521187105,0.000839164440682343,0.000534039769675873,0.00292300491180136,7,4,single-phase,19.0926996097583,10.6417192096157
-6,0.000214285714285714,0.00025,6,1,28000,4000,9.82126478804916e-05,0.000467476128924961,4.41325019576764e-05,0.00141483106609896,7,4,single-phase,21.0926996097583,12.6417192096157
-4,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,4,single-phase,23.0926996097583,14.6417192096157
-20,0.4215,0.847,11802,3388,28000,4000,0.41572727139139,0.427294265262278,0.835511533943448,0.857822612413499,7,4,polyphase,7.09269960975831,-1.35828079038426
-18,0.340821428571429,0.69225,9543,2769,28000,4000,0.335291798741614,0.346394729404608,0.677767513548372,0.706363580506738,7,4,polyphase,9.09269960975831,0.64171920961574
-16,0.209035714285714,0.43675,5853,1747,28000,4000,0.204313037363859,0.213838217921594,0.421447540831734,0.452173828744413,7,4,polyphase,11.0926996097583,2.64171920961574
-14,0.0811785714285714,0.18775,2273,751,28000,4000,0.0780367928333947,0.0844352546359206,0.175949801310202,0.200149371024216,7,4,polyphase,13.0926996097583,4.64171920961574
-12,0.0199285714285714,0.056,558,224,28000,4000,0.018356261545686,0.0216325900005351,0.0492914655097255,0.0635605201315294,7,4,polyphase,15.0926996097583,6.64171920961574
-10,0.00507142857142857,0.01875,142,75,28000,4000,0.00430459928570833,0.00597404263718505,0.0149849775460571,0.0234384866202806,7,4,polyphase,17.0926996097583,8.64171920961574
-8,0.00103571428571429,0.00425,29,17,28000,4000,0.000721259521472238,0.0014870610373922,0.00265524760875539,0.00679604041298363,7,4,polyphase,19.0926996097583,10.6417192096157
-6,7.14285714285714e-05,0.0005,2,2,28000,4000,1.95885092009692e-05,0.000260425175072486,0.000137128744953468,0.00182135510145831,7,4,polyphase,21.0926996097583,12.6417192096157
-4,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,4,polyphase,23.0926996097583,14.6417192096157
-20,0.461142857142857,0.9095,12912,3638,28000,4000,0.455309784916475,0.466986589914822,0.900211833864696,0.918002382081038,7,8,single-phase,10.1029995663981,1.65201916625555
-18,0.42225,0.835,11823,3340,28000,4000,0.416475779108266,0.428045551781194,0.823176821160493,0.846180351835407,7,8,single-phase,12.1029995663981,3.65201916625555
