SNR_dB,SpreadingFactor,SamplesPerChip,CodingRate,Packets,PayloadBytes,SymbolErrors,Symbols,PreFecBitErrors,PreFecBits,PayloadBitErrors,HardPayloadBitErrors,SoftPayloadBitErrors,PayloadBits,PacketErrors,HardPacketErrors,SoftPacketErrors,HardSuccessPackets,SoftSuccessPackets,SoftRecoveredPackets,HeaderFailures,CrcFailures,UndetectedErrors,SER,PreFecBER,PayloadBER,HardPayloadBER,SoftPayloadBER,PER,HardPER,SoftPER,SoftRecoveryRate,PreFecBER_Lower95,PreFecBER_Upper95,PayloadBER_Lower95,PayloadBER_Upper95,HardPayloadBER_Lower95,HardPayloadBER_Upper95,SoftPayloadBER_Lower95,SoftPayloadBER_Upper95,PER_Lower95,PER_Upper95,HardPER_Lower95,HardPER_Upper95,SoftPER_Lower95,SoftPER_Upper95,DemodulationMode,SelectedDecoder,EbN0_dB
-18,6,8,1,200,16,5455,7600,15982,45600,24808,25061,25115,25600,200,200,200,0,0,0,189,11,0,0.717763157894737,0.350482456140351,0.9690625,0.9789453125,0.9810546875,1,1,1,0,0.346116022445943,0.354874079181504,0.966870087262713,0.971114161648746,0.977113459231231,0.980633449155128,0.979311043885666,0.982653981542767,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,3.81843587944773
-16,6,8,1,200,16,3787,7600,10861,45600,17923,21778,18814,25600,200,200,200,0,0,0,114,86,0,0.498289473684211,0.238179824561404,0.7001171875,0.850703125,0.734921875,1,1,1,0,0.234292272953724,0.242111485234908,0.694474578454012,0.705699747593074,0.846284932513912,0.855016082370088,0.729480177414085,0.740293079827213,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,5.81843587944773
-14,6,8,1,200,16,1767,7600,4584,45600,3562,8770,3562,25600,196,200,196,0,4,4,11,185,0,0.2325,0.100526315789474,0.139140625,0.342578125,0.139140625,0.98,1,0.98,0.02,0.0977999358259337,0.103319995421584,0.134955174736029,0.143434357955172,0.336788734638476,0.348414752777149,0.134955174736029,0.143434357955172,0.949712913094174,0.992195573583651,0.981154673622734,1,0.949712913094174,0.992195573583651,polyphase,soft-preferred,7.81843587944773
-12,6,8,1,200,16,532,7600,990,45600,179,1072,185,25600,80,170,83,30,117,90,0,80,0,0.07,0.0217105263157895,0.0069921875,0.041875,0.0072265625,0.4,0.85,0.415,0.45,0.0204126394473389,0.0230889910153506,0.00604282524224533,0.00808948609090571,0.0394892834549677,0.0443981856295102,0.00626036844608581,0.00834062255840673,0.334605785668074,0.46916327960738,0.793944207158333,0.89286406437758,0.348942854497576,0.484260850986559,polyphase,soft-preferred,9.81843587944773
-10,6,8,1,200,16,140,7600,159,45600,10,173,10,25600,8,82,8,118,192,74,0,8,0,0.0184210526315789,0.00348684210526316,0.000390625,0.0067578125,0.000390625,0.04,0.41,0.04,0.37,0.00298604217730579,0.00407129002378324,0.000212200286599722,0.00071896697043235,0.00582557056211772,0.00783806109969182,0.000212200286599722,0.00071896697043235,0.0204056320661523,0.0769320682009329,0.344156749084829,0.479235409663079,0.0204056320661523,0.0769320682009329,polyphase,soft-preferred,11.8184358794477
-8,6,8,1,200,16,30,7600,30,45600,0,32,1,25600,0,21,1,179,199,21,0,0,0,0.00394736842105263,0.000657894736842105,0,0.00125,3.90625e-05,0,0.105,0.005,0.105,0.00046089465729986,0.000939019402096685,0,0.000150034471462902,0.000885616597017821,0.00176404278826642,6.89552370722491e-06,0.000221252226312594,0,0.0188453263772665,0.0697074879268103,0.15518031991123,0.00088316871560098,0.0277737043978929,polyphase,soft-preferred,13.8184358794477
-6,6,8,1,200,16,4,7600,4,45600,0,2,0,25600,0,3,0,197,200,3,0,0,0,0.000526315789473684,8.7719298245614e-05,0,7.8125e-05,0,0,0.015,0,0.015,3.41128340444577e-05,0.000225546406096237,0,0.000150034471462902,2.14249543489298e-05,0.000284836074227806,0,0.000150034471462902,0,0.0188453263772665,0.00511423779325832,0.0431657287926902,0,0.0188453263772665,polyphase,soft-preferred,15.8184358794477
-4,6,8,1,200,16,1,7600,1,45600,0,2,0,25600,0,1,0,199,200,1,0,0,0,0.000131578947368421,2.19298245614035e-05,0,7.8125e-05,0,0,0.005,0,0.005,3.87116300947222e-06,0.000124220213370933,0,0.000150034471462902,2.14249543489298e-05,0.000284836074227806,0,0.000150034471462902,0,0.0188453263772665,0.00088316871560098,0.0277737043978929,0,0.0188453263772665,polyphase,soft-preferred,17.8184358794477
-20,7,8,1,200,16,5195,7600,16669,50000,24286,24868,24512,25600,200,200,200,0,0,0,180,20,0,0.683552631578947,0.33338,0.948671875,0.97140625,0.9575,1,1,1,0,0.329260827713218,0.337524772874658,0.945900812776391,0.951308304728357,0.969292881889847,0.973378163735027,0.954959482042127,0.959903236416485,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,4.82873583608754
-18,7,8,1,200,16,3111,7600,9677,50000,15903,20032,16549,25600,200,200,200,0,0,0,101,99,0,0.409342105263158,0.19354,0.6212109375,0.7825,0.6464453125,1,1,1,0,0.190100696862097,0.197026389659092,0.615250981875148,0.627134521486965,0.777404227705571,0.787511002818053,0.640567452429248,0.652279228880634,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,6.82873583608754
-16,7,8,1,200,16,1193,7600,3202,50000,1466,6631,1700,25600,176,198,177,2,23,22,2,173,1,0.156973684210526,0.06404,0.057265625,0.2590234375,0.06640625,0.88,0.99,0.885,0.11,0.0619273738459382,0.0662196099032543,0.0544852602428653,0.0601788405930378,0.253693265080157,0.264425919502222,0.0634207568242747,0.069521851193947,0.827657479017033,0.918020072936245,0.964278238283823,0.997253341866456,0.833352831015124,0.92213626767438,polyphase,soft-preferred,8.82873583608754
-14,7,8,1,200,16,274,7600,501,50000,65,524,68,25600,31,126,33,74,167,95,0,31,0,0.0360526315789474,0.01002,0.0025390625,0.02046875,0.00265625,0.155,0.63,0.165,0.475,0.00918387243048758,0.0109314113052436,0.00199277187862322,0.00323462569903928,0.0188048003554141,0.0222765920798733,0.00209601563438967,0.00336572177894359,0.111396369276893,0.211606905923421,0.561226299240502,0.693873915901409,0.119968553282173,0.222657815390595,polyphase,soft-preferred,10.8287358360875
-12,7,8,1,200,16,52,7600,52,50000,2,56,2,25600,1,36,1,164,199,35,0,1,0,0.0068421052631579,0.00104,7.8125e-05,0.0021875,7.8125e-05,0.005,0.18,0.005,0.175,0.000793230994787324,0.00136343248694745,2.14249543489298e-05,0.000284836074227806,0.00168507473127951,0.00283930333937075,2.14249543489298e-05,0.000284836074227806,0.00088316871560098,0.0277737043978929,0.132946258594202,0.239114750287249,0.00088316871560098,0.0277737043978929,polyphase,soft-preferred,12.8287358360875
-10,7,8,1,200,16,11,7600,11,50000,0,8,0,25600,0,8,0,192,200,8,0,0,0,0.00144736842105263,0.00022,0,0.0003125,0,0,0.04,0,0.04,0.000122853016122943,0.000393936455781434,0,0.000150034471462902,0.000158359734968683,0.000616580964949555,0,0.000150034471462902,0,0.0188453263772665,0.0204056320661523,0.0769320682009329,0,0.0188453263772665,polyphase,soft-preferred,14.8287358360875
-8,7,8,1,200,16,2,7600,2,50000,0,2,0,25600,0,1,0,199,200,1,0,0,0,0.000263157894736842,4e-05,0,7.8125e-05,0,0,0.005,0,0.005,1.09695113013903e-05,0.000145847616981678,0,0.000150034471462902,2.14249543489298e-05,0.000284836074227806,0,0.000150034471462902,0,0.0188453263772665,0.00088316871560098,0.0277737043978929,0,0.0188453263772665,polyphase,soft-preferred,16.8287358360875
-6,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,polyphase,soft-preferred,18.8287358360875
-4,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,polyphase,soft-preferred,20.8287358360875
