waveform,doppler_hz,peak_delay_samples,peak_delay_us,one_way_bias_m,normalized_peak,peak_loss_db
sinusoidal_nlfm,-50.0,0.30047871994838715,0.3004787199483871,90.08125403002063,0.995693482950853,-0.037486708448940684
sinusoidal_nlfm,-25.0,0.14882681769859119,0.14882681769859119,44.61715749417856,0.9989223256239563,-0.009365608140950214
sinusoidal_nlfm,0.0,0.0,0.0,0.0,1.0000000000000004,3.857309866213148e-15
sinusoidal_nlfm,25.0,-0.14882681769859119,-0.14882681769859119,-44.61715749417856,0.9989223256239562,-0.009365608140951179
sinusoidal_nlfm,50.0,-0.30047871994838715,-0.3004787199483871,-90.08125403002063,0.9956934829508531,-0.03748670844893971
sinusoidal_nlfm,75.0,-0.45798303106801086,-0.45798303106801086,-137.29985860616935,0.9903259940411281,-0.08443642908907027
sinusoidal_nlfm,86.8600903895988,-0.5359174618337192,-0.5359174618337192,-160.66401316825187,0.9899049404255522,-0.08813016523676936
sinusoidal_nlfm,100.0,-0.6214502255354546,-0.6214502255354546,-186.30609063792832,0.9926723523095831,-0.06388147651456369
sinusoidal_nlfm,125.0,-0.7788805458575325,-0.7788805458575325,-233.5025133310114,0.9963079713511624,-0.03212789850758137
sinusoidal_nlfm,150.0,-0.9320686582627786,-0.9320686582627786,-279.4271540853604,0.9977993078716728,-0.01913603294410912
sinusoidal_nlfm,175.0,-1.0839819852426444,-1.0839819852426442,-324.9696237836121,0.9971443528008842,-0.024839319487285176
sinusoidal_nlfm,200.0,-1.2374957925163699,-1.2374957925163699,-370.99190540314055,0.9943494059124839,-0.049219628036591634
sinusoidal_nlfm,225.0,-1.395598048135298,-1.395598048135298,-418.38976923048335,0.9894290380840575,-0.09230695939203043
sinusoidal_nlfm,250.0,-1.560003282100979,-1.560003282100979,-467.6772184291199,0.9872079236641522,-0.11182735005363194
sinusoidal_nlfm,275.0,-1.7193451449046506,-1.7193451449046506,-515.4467071413313,0.9912552305796966,-0.07629016032854043
sinusoidal_nlfm,300.0,-1.8733955151022883,-1.8733955151022883,-561.6298462786912,0.9931706074730768,-0.059522834325664846
sinusoidal_nlfm,325.0,-2.0251924650176534,-2.0251924650176534,-607.1374270107214,0.9929541261859265,-0.06141630309373804
sinusoidal_nlfm,350.0,-2.1776079828147203,-2.1776079828147203,-652.8304497284468,0.9906140935268452,-0.08190995151302488
sinusoidal_nlfm,375.0,-2.3335528264344703,-2.3335528264344703,-699.5815377096371,0.9861669958218504,-0.12099072302316459
sinusoidal_nlfm,400.0,-2.496186755795293,-2.496186755795293,-748.3379631469166,0.9796374059414904,-0.1786928073322008
sinusoidal_nlfm,425.0,-2.6578604028834434,-2.6578604028834434,-796.8065032012978,0.9838021773239317,-0.14184441214032678
sinusoidal_nlfm,450.0,-2.8130980042124065,-2.8130980042124065,-843.3455652777317,0.9861508399886056,-0.12113302035681976
sinusoidal_nlfm,475.0,-2.9650666968358337,-2.9650666968358337,-888.9046331783554,0.9863872725901138,-0.11905080204095587
sinusoidal_nlfm,500.0,-3.1166583826081933,-3.1166583826081933,-934.3506772684148,0.9845216682964546,-0.13549442102970402
optimized_fm,-500.0,3.3538786033416272,3.3538786033416272,1005.4675103293933,0.9879658258148164,-0.10516155190605474
optimized_fm,-475.0,3.185755258022482,3.185755258022482,955.0653993889841,0.9919337134395816,-0.07034697726474316
optimized_fm,-450.0,3.021415104665948,3.021415104665948,905.7974608661319,0.9937933787617885,-0.05407802214173772
optimized_fm,-425.0,2.8575761742461054,2.8575761742461054,856.6797851994762,0.9935319643031308,-0.05636312071275427
optimized_fm,-400.0,2.690988378147267,2.690988378147267,806.7380203342028,0.9911447687016465,-0.07725813821725837
optimized_fm,-375.0,2.5181924868570604,2.5181924868570604,754.9351153520108,0.986635286038606,-0.11686712964016788
optimized_fm,-350.0,2.3434434599580527,2.3434434599580527,702.5466750448492,0.9912104831874093,-0.07668226891166986
optimized_fm,-325.0,2.1755943124005626,2.1755943124005626,652.2267665253845,0.9949546108598458,-0.04393462031624711
optimized_fm,-300.0,2.0112533978644933,2.0112533978644933,602.9585998066484,0.9965730277373751,-0.029817423839866013
optimized_fm,-275.0,1.8471364981733132,1.8471364981733132,553.7575910488902,0.996055646048735,-0.0343279685373224
optimized_fm,-250.0,1.6799733846326035,1.6799733846326035,503.6433503535876,0.9934006199986094,-0.05751146579938367
optimized_fm,-225.0,1.5062639461389153,1.5062639461389153,451.56657080976504,0.9886143662248413,-0.09946165604335276
optimized_fm,-200.0,1.331988820621973,1.331988820621973,399.32020256278236,0.9937965085986739,-0.054050666983670136
optimized_fm,-175.0,1.1644391922502564,1.1644391922502564,349.09008763623893,0.997293684297344,-0.023538625380941446
optimized_fm,-150.0,1.0001007162923088,1.0001007162923088,299.82265198483185,0.9986507735721066,-0.011727144916585852
optimized_fm,-125.0,0.8356883911687873,0.8356883911687873,250.53307691055625,0.997860585086402,-0.018602628302856597
optimized_fm,-100.0,0.6679116876695161,0.6679116876695161,200.23488657337253,0.9949242381018177,-0.04419977658381964
optimized_fm,-86.8600903895988,0.5772019498485861,0.5772019498485861,173.04079130750037,0.9925233095344989,-0.06518569969321211
optimized_fm,-75.0,0.49339933965836735,0.49339933965836735,147.91740081175882,0.990325994041128,-0.08443642908907124
optimized_fm,-50.0,0.32346453857337565,0.32346453857337565,96.9722290947481,0.995693482950853,-0.037486708448940684
optimized_fm,-25.0,0.16013916922008775,0.16013916922008775,48.008515162568045,0.9989223256239563,-0.009365608140950214
optimized_fm,0.0,0.0,0.0,0.0,1.0000000000000002,1.928654933106574e-15
optimized_fm,25.0,-0.16013916922008775,-0.16013916922008775,-48.008515162568045,0.9989223256239563,-0.009365608140950214
optimized_fm,50.0,-0.32346453857337565,-0.32346453857337565,-96.9722290947481,0.9956934829508532,-0.03748670844893875
optimized_fm,75.0,-0.49339933965836735,-0.49339933965836735,-147.91740081175882,0.9903259940411281,-0.08443642908907027
optimized_fm,86.8600903895988,-0.5772019498485861,-0.5772019498485861,-173.04079130750037,0.9925233095344989,-0.06518569969321211
optimized_fm,100.0,-0.6679116876695161,-0.6679116876695161,-200.23488657337253,0.9949242381018174,-0.04419977658382254
optimized_fm,125.0,-0.8356883911687873,-0.8356883911687873,-250.53307691055625,0.9978605850864019,-0.01860262830285756
optimized_fm,150.0,-1.0001007162923088,-1.0001007162923088,-299.82265198483185,0.9986507735721069,-0.01172714491658392
optimized_fm,175.0,-1.1644391922502564,-1.1644391922502564,-349.09008763623893,0.9972936842973438,-0.02353862538094338
optimized_fm,200.0,-1.3319888206220867,-1.3319888206220867,-399.32020256281646,0.9937965085986739,-0.054050666983670136
optimized_fm,225.0,-1.5062639461388017,-1.5062639461388017,-451.56657080973093,0.9886143662248413,-0.09946165604335276
optimized_fm,250.0,-1.6799733846326035,-1.6799733846326035,-503.6433503535876,0.9934006199986093,-0.05751146579938464
optimized_fm,275.0,-1.8471364981734268,-1.8471364981734268,-553.757591048924,0.9960556460487351,-0.03432796853732143
optimized_fm,300.0,-2.0112533978644933,-2.0112533978644933,-602.9585998066484,0.9965730277373753,-0.029817423839864077
optimized_fm,325.0,-2.1755943124006762,-2.1755943124006762,-652.2267665254186,0.9949546108598458,-0.04393462031624711
optimized_fm,350.0,-2.343443459957939,-2.343443459957939,-702.5466750448151,0.9912104831874095,-0.07668226891166888
optimized_fm,375.0,-2.5181924868569467,-2.5181924868569467,-754.9351153519767,0.9866352860386061,-0.1168671296401669
optimized_fm,400.0,-2.690988378147267,-2.690988378147267,-806.7380203342028,0.9911447687016465,-0.07725813821725837
optimized_fm,425.0,-2.857576174246219,-2.857576174246219,-856.6797851995103,0.9935319643031307,-0.05636312071275524
optimized_fm,450.0,-3.021415104665948,-3.021415104665948,-905.7974608661319,0.9937933787617886,-0.05407802214173675
optimized_fm,475.0,-3.1857552580223683,-3.1857552580223683,-955.06539938895,0.9919337134395818,-0.07034697726474122
optimized_fm,500.0,-3.353878603341741,-3.353878603341741,-1005.4675103294275,0.9879658258148165,-0.10516155190605377
