first_harmonic,second_harmonic,on_pareto_front,representative,delay_variance_ratio_to_lfm,delay_std_ratio_to_lfm,rms_bandwidth_hz,mainlobe_width_samples,peak_sidelobe_db,peak_sidelobe_amplitude_ratio_to_lfm,integrated_sidelobe_db,integrated_sidelobe_energy_ratio_to_lfm,doppler_coupling_samples_per_hz,doppler_coupling_ratio_to_lfm,doppler_fit_residual_rms_samples
0.09999999999999999,-0.04,True,,0.8026580382026142,0.8959118473391309,40316.073304212514,14,-11.380100036334559,1.2741386468895861,-4.891765455846235,3.06548772168933,0.007202381201019347,0.8943901315784162,0.0005450084093663386
0.09999999999999999,-0.03,True,,0.8095249324361955,0.8997360348658908,40144.716129793145,14,-11.004611829268383,1.3304271507544774,-5.1134096340358814,2.91296430679193,0.007232547267588331,0.8981361471661524,0.0005893419720690497
0.09999999999999999,-0.020000000000000004,True,,0.816310962895975,0.9034992877119357,39977.50546423557,14,-10.54941963321458,1.402008701250286,-5.294246414268484,2.7941613764592264,0.007261474406717277,0.9017283130137562,0.0006370917027783013
0.09999999999999999,-0.009999999999999995,True,,0.8230090675564454,0.9071984719764719,39814.49355039656,14,-10.074327456594132,1.480830387531412,-5.426109910465325,2.7105981370570054,0.007289108262026441,0.9051598791578093,0.0006878574895567009
0.09999999999999999,0.0,True,,0.8296120781579752,0.9108304332629511,39655.73216744871,14,-9.631970323696281,1.5581999083386684,-5.500916623112779,2.6643082173230526,0.007315394603004538,0.9084241112652112,0.0007412415529814758
0.11,-0.07,True,,0.7683186964862201,0.8765379036220967,41207.17148931095,14,-10.611823187826307,1.3919721021824731,-3.747038547665702,3.98999426806052,0.007043266810560167,0.8746313411663419,0.00040513886536888867
0.11,-0.06,True,,0.7751471085132785,0.8804243911394541,41025.26926212305,14,-11.053393275199689,1.3229761862250329,-4.029616440622945,3.7386471819345575,0.007075656012865059,0.8786534252664021,0.0004301199101478801
0.11,-0.05,True,,0.7819150601133221,0.8842596112643176,40847.3340310012,14,-11.434098267484337,1.266242182901936,-4.293930076016833,3.5178969942655822,0.007106982684281707,0.882543564511779,0.0004597880688080651
0.11,-0.04,True,,0.7886161645111113,0.8880406322410654,40673.4178595917,14,-11.037943879595385,1.3253314280559216,-4.534572852354438,3.328272229372007,0.007137195222976206,0.8862953509979574,0.0004937657508391542
0.11,-0.03,True,,0.7952439065189048,0.8917644905012224,40503.57251961844,14,-10.665441421919175,1.383405887299103,-4.745161539030306,3.1707351903172833,0.007166241796183762,0.8899023481434754,0.0005316731675109546
0.11,-0.020000000000000004,True,,0.8017916525675923,0.8954281950930473,40337.84943267676,14,-10.305331595107752,1.4419663007660237,-4.91851906878371,3.0466616063420364,0.0071940704657983525,0.8933581062856191,0.0005731298824551602
