waveform,harmonic_coefficients,doppler_hz,up_delay_samples,down_delay_samples,paired_timing_delay_samples,paired_timing_bias_m,doppler_displacement_samples,mean_normalized_peak
balanced_knee,0.1;-0.05,175.0,-1.2553272579632448,1.2553272579632448,0.0,0.0,-1.2553272579632448,0.9963980580025709
balanced_knee,0.1;-0.05,200.0,-1.4394518920692008,1.4394518920692008,0.0,0.0,-1.4394518920692008,0.9920515142443889
balanced_knee,0.1;-0.05,225.0,-1.6281980555427253,1.6281980555427253,0.0,0.0,-1.6281980555427253,0.9935385964593076
balanced_knee,0.1;-0.05,250.0,-1.810294125428527,1.810294125428527,0.0,0.0,-1.810294125428527,0.9966316303326703
balanced_knee,0.1;-0.05,275.0,-1.9884125060621045,1.9884125060621045,0.0,0.0,-1.9884125060621045,0.9975857641368338
balanced_knee,0.1;-0.05,300.0,-2.1661986095946304,2.1661986095946304,0.0,0.0,-2.1661986095946304,0.9963991798768577
balanced_knee,0.1;-0.05,325.0,-2.347272517315787,2.347272517315787,0.0,0.0,-2.347272517315787,0.9930783285772764
balanced_knee,0.1;-0.05,350.0,-2.5351911998577634,2.5351911998577634,0.0,0.0,-2.5351911998577634,0.9897905749121931
balanced_knee,0.1;-0.05,375.0,-2.7204851325395794,2.7204851325395794,0.0,0.0,-2.7204851325395794,0.9938884097554039
balanced_knee,0.1;-0.05,400.0,-2.8999584094708553,2.8999584094708553,0.0,0.0,-2.8999584094708553,0.9958584278221069
balanced_knee,0.1;-0.05,425.0,-3.077358103266306,3.077358103266306,0.0,0.0,-3.077358103266306,0.9956958045742723
balanced_knee,0.1;-0.05,450.0,-3.256273367263134,3.25627336726302,-5.684341886080802e-14,-1.7041228261405195e-11,-3.256273367263077,0.9934039394940511
balanced_knee,0.1;-0.05,475.0,-3.4404052716472506,3.4404052716472506,0.0,0.0,-3.4404052716472506,0.9889944302555655
balanced_knee,0.1;-0.05,500.0,-3.6288239263891455,3.628823926389032,-5.684341886080802e-14,-1.7041228261405195e-11,-3.6288239263890887,0.9904427301767615
delay_focused,0.3;0,-500.0,3.0617774125614687,-3.0617774125615824,-5.684341886080802e-14,-1.7041228261405195e-11,3.0617774125615256,0.9837133333294703
delay_focused,0.3;0,-475.0,2.913315320083939,-2.913315320083939,0.0,0.0,2.913315320083939,0.9849827582665823
delay_focused,0.3;0,-450.0,2.763513704868501,-2.7635137048686147,-5.684341886080802e-14,-1.7041228261405195e-11,2.763513704868558,0.984150876417051
delay_focused,0.3;0,-425.0,2.6094982250072007,-2.6094982250073144,-5.684341886080802e-14,-1.7041228261405195e-11,2.6094982250072576,0.9812090039344559
delay_focused,0.3;0,-400.0,2.4485575241928927,-2.4485575241928927,0.0,0.0,2.4485575241928927,0.9803393396598508
delay_focused,0.3;0,-375.0,2.2909208316648346,-2.2909208316648346,0.0,0.0,2.2909208316648346,0.9864725215765223
delay_focused,0.3;0,-350.0,2.1390525616195646,-2.1390525616195646,0.0,0.0,2.1390525616195646,0.9905211872816212
delay_focused,0.3;0,-325.0,1.9899520004410078,-1.9899520004410078,0.0,0.0,1.9899520004410078,0.9924617665686828
delay_focused,0.3;0,-300.0,1.8408099848470556,-1.840809984846942,5.684341886080802e-14,1.7041228261405195e-11,1.8408099848469988,0.9922787817492285
delay_focused,0.3;0,-275.0,1.6888091719069962,-1.6888091719068825,5.684341886080802e-14,1.7041228261405195e-11,1.6888091719069394,0.9899649372232125
delay_focused,0.3;0,-250.0,1.5309225145840628,-1.5309225145841765,-5.684341886080802e-14,-1.7041228261405195e-11,1.5309225145841197,0.9855211715095338
delay_focused,0.3;0,-225.0,1.369730315079778,-1.369730315079778,0.0,0.0,1.369730315079778,0.9898056632725153
delay_focused,0.3;0,-200.0,1.2153415362602118,-1.2153415362603255,-5.684341886080802e-14,-1.7041228261405195e-11,1.2153415362602686,0.994526616365277
delay_focused,0.3;0,-175.0,1.0650796202116908,-1.0650796202116908,0.0,0.0,1.0650796202116908,0.997121386001885
delay_focused,0.3;0,-150.0,0.9160559570879059,-0.9160559570879059,0.0,0.0,0.9160559570879059,0.997575906861966
delay_focused,0.3;0,-125.0,0.7654680756794505,-0.7654680756794505,0.0,0.0,0.7654680756794505,0.9958843862310662
delay_focused,0.3;0,-100.0,0.6104009959202585,-0.6104009959201449,5.684341886080802e-14,1.7041228261405195e-11,0.6104009959202017,0.9920493400263095
delay_focused,0.3;0,-86.8600903895988,0.5260278741403681,-0.5260278741403681,0.0,0.0,0.5260278741403681,0.9891775839725567
delay_focused,0.3;0,-75.0,0.44954561280178496,-0.44954561280178496,0.0,0.0,0.44954561280178496,0.990325994041128
delay_focused,0.3;0,-50.0,0.2949723758547407,-0.2949723758547407,0.0,0.0,0.2949723758547407,0.995693482950853
delay_focused,0.3;0,-25.0,0.1461080425297041,-0.1461080425297041,0.0,0.0,0.1461080425297041,0.9989223256239563
delay_focused,0.3;0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
delay_focused,0.3;0,25.0,-0.1461080425297041,0.1461080425297041,0.0,0.0,-0.1461080425297041,0.9989223256239562
delay_focused,0.3;0,50.0,-0.2949723758547407,0.2949723758547407,0.0,0.0,-0.2949723758547407,0.995693482950853
delay_focused,0.3;0,75.0,-0.44954561280178496,0.44954561280178496,0.0,0.0,-0.44954561280178496,0.9903259940411281
delay_focused,0.3;0,86.8600903895988,-0.5260278741403681,0.5260278741403681,0.0,0.0,-0.5260278741403681,0.9891775839725567
delay_focused,0.3;0,100.0,-0.6104009959201449,0.6104009959202585,5.684341886080802e-14,1.7041228261405195e-11,-0.6104009959202017,0.9920493400263095
delay_focused,0.3;0,125.0,-0.7654680756794505,0.7654680756794505,0.0,0.0,-0.7654680756794505,0.9958843862310662
delay_focused,0.3;0,150.0,-0.9160559570879059,0.9160559570879059,0.0,0.0,-0.9160559570879059,0.997575906861966
delay_focused,0.3;0,175.0,-1.0650796202116908,1.0650796202116908,0.0,0.0,-1.0650796202116908,0.997121386001885
delay_focused,0.3;0,200.0,-1.2153415362603255,1.2153415362602118,-5.684341886080802e-14,-1.7041228261405195e-11,-1.2153415362602686,0.994526616365277
delay_focused,0.3;0,225.0,-1.369730315079778,1.369730315079778,0.0,0.0,-1.369730315079778,0.9898056632725152
delay_focused,0.3;0,250.0,-1.5309225145841765,1.5309225145840628,-5.684341886080802e-14,-1.7041228261405195e-11,-1.5309225145841197,0.9855211715095338
delay_focused,0.3;0,275.0,-1.6888091719068825,1.6888091719069962,5.684341886080802e-14,1.7041228261405195e-11,-1.6888091719069394,0.9899649372232127
delay_focused,0.3;0,300.0,-1.840809984846942,1.8408099848470556,5.684341886080802e-14,1.7041228261405195e-11,-1.8408099848469988,0.9922787817492285
delay_focused,0.3;0,325.0,-1.9899520004410078,1.9899520004410078,0.0,0.0,-1.9899520004410078,0.9924617665686828
delay_focused,0.3;0,350.0,-2.1390525616195646,2.1390525616195646,0.0,0.0,-2.1390525616195646,0.9905211872816211
delay_focused,0.3;0,375.0,-2.2909208316648346,2.2909208316648346,0.0,0.0,-2.2909208316648346,0.9864725215765223
delay_focused,0.3;0,400.0,-2.4485575241928927,2.4485575241928927,0.0,0.0,-2.4485575241928927,0.9803393396598509
delay_focused,0.3;0,425.0,-2.6094982250073144,2.6094982250072007,-5.684341886080802e-14,-1.7041228261405195e-11,-2.6094982250072576,0.9812090039344559
delay_focused,0.3;0,450.0,-2.7635137048686147,2.763513704868501,-5.684341886080802e-14,-1.7041228261405195e-11,-2.763513704868558,0.984150876417051
delay_focused,0.3;0,475.0,-2.913315320083939,2.913315320083939,0.0,0.0,-2.913315320083939,0.9849827582665822
delay_focused,0.3;0,500.0,-3.0617774125615824,3.0617774125614687,-5.684341886080802e-14,-1.7041228261405195e-11,-3.0617774125615256,0.9837133333294703
sidelobe_focused,-0.08;0.01,-500.0,4.417744041278411,-4.4177440412785245,-5.684341886080802e-14,-1.7041228261405195e-11,4.417744041278468,0.9903471628586606
sidelobe_focused,-0.08;0.01,-475.0,4.1959353545566955,-4.195935354556582,5.684341886080802e-14,1.7041228261405195e-11,4.195935354556639,0.9936446013748094
sidelobe_focused,-0.08;0.01,-450.0,3.9773693829499734,-3.9773693829499734,0.0,0.0,3.9773693829499734,0.9948164781069065
sidelobe_focused,-0.08;0.01,-425.0,3.757425334749769,-3.757425334749769,0.0,0.0,3.757425334749769,0.9938621876917757
