first_harmonic,second_harmonic,on_pareto_front,representative,delay_variance_ratio_to_lfm,delay_std_ratio_to_lfm,rms_bandwidth_hz,mainlobe_width_samples,peak_sidelobe_db,peak_sidelobe_amplitude_ratio_to_lfm,integrated_sidelobe_db,integrated_sidelobe_energy_ratio_to_lfm,doppler_coupling_samples_per_hz,doppler_coupling_ratio_to_lfm,doppler_fit_residual_rms_samples
-0.04,-0.06,False,,1.01139438306214,1.0056810543418524,35915.60918394214,18,-11.391664149682015,1.2724434285155481,-7.551390776354797,1.6616404234260131,0.00806742446543988,1.0018110160737557,0.002187757833481645
-0.04,-0.05,False,,1.022947183817853,1.011408514803911,35712.224272147476,18,-12.238780127027235,1.1542042903121728,-8.431035995491076,1.3569771260216348,0.008120731428496395,1.0084306631559476,0.0023445627623128133
-0.04,-0.04,False,,1.0344467774408832,1.0170775670718941,35513.16918278237,18,-13.22376319554903,1.0304656772429195,-9.283427556856847,1.1151502109358158,0.008172736257029235,1.0148886114561038,0.002504935200416294
-0.04,-0.03,False,,1.045880556882783,1.0226830187711062,35318.51712453343,18,-14.38260433521706,0.9017610523017303,-10.0866770945783,0.9268477865201695,0.00822334020377272,1.021172598560242,0.002668102492945517
-0.04,-0.020000000000000004,False,,1.057235468564683,1.0282195624304582,35128.34129128888,18,-15.644328671922585,0.7798395502793205,-10.803975917178176,0.7857394071443954,0.008272442698357592,1.027270135661774,0.0028332719846681314
-0.04,-0.009999999999999995,True,,1.0684980288867871,1.0336817831841612,34942.71476873049,18,-16.794031580862942,0.6831563533204527,-11.382682533799407,0.6877140121627459,0.008319941599001054,1.03316853881632,0.0029996342411338023
-0.04,0.0,True,,1.0796543439352264,1.0390641673810268,34761.71043649483,18,-15.933223149452388,0.7543285289374446,-11.760574773322727,0.6304035486742688,0.008365733469861001,1.0388549633834971,0.0031663666572313105
-0.04,0.009999999999999995,True,,1.0906901325019422,1.0443611121168492,34585.40086601346,18,-15.161234085940906,0.8244417687453228,-11.882749408656855,0.6129163204400876,0.00840971388399477,1.0443164416482698,0.0033326374492162955
-0.04,0.020000000000000004,False,,1.101590752512999,1.0495669356991955,34413.85821417368,18,-14.46364560387186,0.8933865512485715,-11.72401660636204,0.6357325759173839,0.008451777751590476,1.0495399235806473,0.003497610020359083
-0.04,0.03,False,,1.1123412309373446,1.0546758890471255,34247.15411297597,18,-13.829465255679835,0.9610554101532764,-11.301190944354047,0.7007401989443569,0.008491819672843978,1.054512320655868,0.0036604476847537054
-0.04,0.039999999999999994,False,,1.122926297221412,1.0596821680208703,34085.35955539971,18,-13.13415769818062,1.0411512041426612,-10.664353048229744,0.8114108706251514,0.008529734314545701,1.0592205526188683,0.0038203187280770566
